valid_time,Wind_Speed_10m_Mean_24h,Temperature_Air_2m_Max_24h,Temperature_Air_2m_Mean_24h,Temperature_Air_2m_Min_24h,Cloud_Cover_Mean_24h,Derived_Relative_Humidity_2m_Max_24h,Derived_Relative_Humidity_2m_Min_24h,Precipitation_Flux,ReferenceET_PenmanMonteith_FAO56,Solar_Radiation_Flux,Vapour_Pressure_Mean_24h,Vapour_Pressure_Deficit_at_Maximum_Temperature,latitude,longitude
05-05-1979,2.939611,310.1286,303.81158,296.80887,0.42506227,74.39757,13.883744,0,7.516067,2.62E+07,13.921499,48.753555,13.8,77.6
06-05-1979,2.664041,310.08728,303.81955,296.97437,0.534593,65.69317,20.92992,0,7.0005445,2.43E+07,14.666851,47.867264,13.8,77.6
07-05-1979,2.7323139,309.61908,303.22168,297.17148,0.5731604,70.43048,17.583456,0.06,6.8479276,2.32E+07,15.0568905,45.899277,13.8,77.6
08-05-1979,2.2658026,309.6848,303.4544,297.21017,0.38246167,64.51086,21.235435,0.11,6.603218,2.45E+07,15.434178,45.741444,13.8,77.6
09-05-1979,2.7361417,309.145,302.88593,296.52173,0.8295852,61.24297,17.276217,0.01,7.0913587,2.52E+07,13.263641,46.13003,13.8,77.6
10-05-1979,2.8726027,308.86514,302.70667,296.05325,0.88744986,73.4908,20.990255,0.03,6.574698,2.17E+07,15.49765,42.99008,13.8,77.6
11-05-1979,4.024068,305.01184,300.2643,296.55392,0.91256464,86.07767,41.33089,10.3,4.618814,1.06E+07,21.875778,25.302025,13.8,77.6
12-05-1979,6.2831416,305.09534,298.4372,295.96295,0.9133437,90.37192,40.485123,2.48,5.1407437,8.72E+06,21.682003,25.719082,13.8,77.6
13-05-1979,6.3291564,303.50098,298.30746,295.15933,0.9128683,82.25243,39.806404,1.6,6.3916206,1.70E+07,18.10139,25.190968,13.8,77.6
14-05-1979,3.9331331,304.91367,299.07382,293.63107,0.7859899,84.27694,31.992544,0.05,5.4127345,1.49E+07,17.167492,29.748959,13.8,77.6
15-05-1979,2.3331816,305.75922,299.81213,295.0781,0.46514803,78.58429,19.243172,0,5.784575,2.16E+07,14.217352,34.99198,13.8,77.6
16-05-1979,1.6254811,307.75378,300.92764,293.00638,0.27908978,66.45492,16.539228,0,6.0417094,2.68E+07,12.790151,42.216984,13.8,77.6
17-05-1979,1.9751413,308.5993,301.85318,294.32663,0.25971508,66.3799,14.667764,0,6.5670915,2.74E+07,11.43832,46.19992,13.8,77.6
18-05-1979,2.0915034,309.6221,302.92856,295.08087,0.0866509,56.686817,13.450945,0,6.801779,2.72E+07,10.380001,50.58627,13.8,77.6
19-05-1979,2.802947,309.23364,302.25577,294.3722,0.18484,71.789314,16.598934,0,7.3432975,2.72E+07,12.540624,47.14256,13.8,77.6
20-05-1979,3.5122323,308.82898,302.78806,296.14996,0.6084339,71.53028,19.630407,0,7.4838996,2.50E+07,15.525522,42.84601,13.8,77.6
